rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Premier Premier      Seaview Sea,room,premier,private bathroom,,,not club,,no balcony,sea view,
le royal club room double Breakfast,room,royal,private bathroom,double/double-or-twin,double,club,,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Standard 2 Single Beds, Terrace Room, Non-Smoking",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Family Room, Multiple Beds (2+2)",room,standard,private bathroom,,,not club,,no balcony,,
DELUXE SUITE SEA VIEW,suite,deluxe,private bathroom,,,not club,,no balcony,sea view,
Two Bedroom Apartment City View,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,city view,
Garden House,cottage,,private bathroom,,,not club,,no balcony,,
Superior DOUBLE SUPERIOR WITH TERRACE,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
junior suite room with 2 twins,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
Deluxe Triple Room Single bed(1 Amount) Double(1 Amount),room,deluxe,private bathroom,multiple,single,not club,,no balcony,,
"Reviliant Room, 1 Queen Bed, Non Smoking (Fairmont Creek)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio junior suite room with 1 double bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Standard Double Bed Twin beds,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive King Room Non Smoking non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Family Sea View Room,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
"2 Single Beds, Non-Smoking, Superior Room, Safe, Work Desk, Air-Conditioned",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite - Jacuzzi - Seaview Suite - Jacuzzi - Seaview sea,suite,,private bathroom,,,not club,,no balcony,sea view,
KING EXECUTIVE STUDIO Room Only,studio,executive,private bathroom,,,not club,,no balcony,,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
Junior Suite Grande,junior-suite,grand,private bathroom,,,not club,,no balcony,,
Family Suite FAMILY SUITE,suite,,private bathroom,,,not club,,no balcony,,
THREE BEDROOM RESIDENCE Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Apartment 1 bedroom Half Board,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
"Premium Villa, 1 King Bed (Adults only)",villa,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Bunk Pod - Shared Bath Bunk Pod - Shared Bath,capsule,standard,shared bathroom,,,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
1-room superior apartment double,apartment,superior,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Superior Triple Room (Three Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Comfort family room twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
One Bedroom Gulf Suite,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
STANDARD DOUBLE/TWIN HIGH SEASON WITHOUT BREAKFAST,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Skyline Room, Burj Khalifa View",room,standard,private bathroom,,,not club,,no balcony,burj-khalifa view,
Triple Deluxe Room,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Economy Single Room (No View),room,economy,private bathroom,,single,not club,,no balcony,,
Single Fairmont Heritage Room,room,standard,private bathroom,,single,not club,,no balcony,,
"Deluxe Suite, 1 Bedroom",suite,deluxe,private bathroom,,,not club,1 bedroom,no balcony,,
Vilòn Charming Garden,room,standard,private bathroom,,,not club,,no balcony,,
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Triple standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Suite - Signature Suite - Signature various,suite,superior,private bathroom,,,not club,,no balcony,,
Quadruple QUADRUPLE STANDARD ROOM,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Executive King,room,executive,private bathroom,,,not club,,no balcony,,
Standard Standard Queen Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Garden House,cottage,,private bathroom,,,not club,,no balcony,,
Studio junior suite navira,studio,,private bathroom,,,not club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vintage Glass Bstl How Does It Work? (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Grand Deluxe GRAND DELUXE SUIT,suite,deluxe,private bathroom,,,not club,,no balcony,,
Apartment 1 bedroom Half Board,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
One Bedroom Apartment (1 Double or 1 Twin),apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Newbury Accessible Two Queens,room,standard,private bathroom,,double,not club,,no balcony,,
TWIN STANDARD,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard double or twin room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Pool Villa,villa,,private bathroom,,,not club,,no balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Single Mansard One single bed Mansard room,room,standard,private bathroom,single bed,single,not club,,no balcony,,attic floor
Roof Garden Suites,suite,,private bathroom,,,not club,,no balcony,garden view,
Double Connecting Gardens,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Twin Room (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Double King Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 Bedroom Apartment with balcony,apartment,,private bathroom,,,not club,1 bedroom,balcony,,
Executive Sea View Suite with Balcony Executive Sea View Suite with Balcony,suite,executive,private bathroom,,,not club,,balcony,sea view,
Garden Garden Deluxe Room,room,deluxe,private bathroom,,,not club,,no balcony,,
Tourist double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Suite - Bomonti Suite - Bomonti,suite,,private bathroom,,,not club,,no balcony,,
Villa Villa,villa,,private bathroom,,,not club,,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double/Double - De Luxe - Bay View Double/Double - De Luxe - Bay View bay,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,bay view,
Premier Room Twin City View (2 Twin Beds),room,premier,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Standard economy room with 1 double bed double (Main Building),room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Стандартный 2-местный TWIN,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Single Mansard One single bed Mansard room,room,standard,private bathroom,single bed,single,not club,,no balcony,,attic floor
Panorama Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
Apartments dbl Double bed,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Triple,room,deluxe,private bathroom,,triple,not club,,no balcony,,
High Floor Spacious Room with King Bed High Floor Spacious Room with King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Royal Suite One Bedroom Suite Royal Room One bedroom,suite,royal,private bathroom,,,not club,1 bedroom,no balcony,,
Suite - King bed - Sofa bed Suite - King bed - Sofa bed,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
DELUXE HIGH FLOOR (2 TWO BEDROOM APARTMENTS),apartment,deluxe,private bathroom,,,not club,2 bedrooms,no balcony,,
"Deluxe Penthouse (1 Queen Bed, 2 Twin Beds and 1 Twin Sofa Bed)",room,deluxe,private bathroom,,double,not club,,no balcony,,penthouse floor
Standard Double or Twin Room double  in block,room,standard,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
"Guest room, 2 Twin",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Duplex (Suite) (1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,duplex floor
Premium PREMIUM EXPLORER KING,room,premium,private bathroom,,,not club,,no balcony,,
Executive Club Room Marina View Double Breakfast,room,executive,private bathroom,double/double-or-twin,double,club,,no balcony,harbour view,
Apartment with 1 bedroom and a separate kitchen twin,apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
THREE BED ROOM RESIDENCE Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
"Corner Junior suite, 1 Bedroom Junior suite, 1 King, Sofa bed Corner Junior suite, 1 King, Sofa bed",junior-suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Ronda,room,standard,private bathroom,,,not club,,no balcony,,
"Club Suite, 1 King Bed (Club Lounge Access)",suite,,private bathroom,double/double-or-twin,double,club,,no balcony,,
One Bedroom Patio Apartments one bedroom patio apartments,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Superior Grey Room,room,superior,private bathroom,,,not club,,no balcony,,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Medium Palace View,room,standard,private bathroom,,,not club,,no balcony,,
Junior JUNIOR.,room,standard,private bathroom,,,not club,,no balcony,,
Family Apartment Family Apartment Gravati,apartment,,private bathroom,,,not club,,no balcony,,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
"luxury room, 1 double bed, beach front (1 Double)",room,luxury,private bathroom,double/double-or-twin,double,not club,,no balcony,beachfront,
Two Bedroom Villa Two Bedrooms Sunset Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,sunset view,
Deluxe Garden View Room,room,deluxe,private bathroom,,,not club,,no balcony,garden view,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
"Grand Standard Twin Room, 2 Twin Beds",room,grand,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard economy room with 1 double bed double (Main Building),room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Suite Executive Suite, 2 Twin Beds and 1 Double Bed",suite,executive,private bathroom,,double,not club,,no balcony,,
"Guest room, 2 Twin",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Apartment, 1 bedroom, pet friendly (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
Family Family ConnectingRoom,room,standard,private bathroom,,,not club,,no balcony,,
standard room double Full Board,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Grey Room,room,superior,private bathroom,,,not club,,no balcony,,
Junior suite Room With Balcony double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,balcony,,
STANDARD QUAD ROOM Room Only,room,standard,private bathroom,,quadruple,not club,,no balcony,,
"Premium Apartment, 1 Bedroom, Balcony, Sea View, High Floor (2 Adults) (2 Twin Beds and 1 Double Soft Bed)",apartment,premium,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,sea view,
triple room min (1 Double 1 Sofa),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Palacio,room,deluxe,private bathroom,,,not club,,no balcony,,
Triple standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Suite - Grand De Luxe Suite - Grand De Luxe,suite,deluxe,private bathroom,,,not club,,no balcony,,
King Diplomat Suite King Diplomat Suite,suite,,private bathroom,,,not club,,no balcony,,
"Skyline Room, Burj Khalifa View",room,standard,private bathroom,,,not club,,no balcony,burj-khalifa view,
Duplex (Suite) (1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,duplex floor
Standard Room Multiple Beds,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe DELUXE POOL VIEW Pool,room,deluxe,private bathroom,,,not club,,no balcony,pool view,
Ronda,room,standard,private bathroom,,,not club,,no balcony,,
Standard comfort triple room double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe King Studio - Black and White Basic rate without breakfast,studio,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Suite, 1 Bedroom, Terrace",suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Standard double or twin room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Double Room (Golden Horn Vw),room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Tapa Collection Resort View King Room Acc Roll in show TAPA COLLECTION RESORT VW 1KG MOB ACC RI SHWR (2 Single),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,with view,
Executive Room Breakfast,room,executive,private bathroom,,,not club,,no balcony,,
Premium PREMIUM EXPLORER KING,room,premium,private bathroom,,,not club,,no balcony,,
Superior DOUBLE SUPERIOR WITH TERRACE,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
TWIN STANDARD,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
Panorama Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
Vilòn Charming Garden,cottage,,private bathroom,,,not club,,no balcony,,
Triple deluxe Room,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Single Fairmont Heritage Room,room,standard,private bathroom,,single,not club,,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Traditional Room, 1 King Bed",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,multiple,,not club,,no balcony,,
Quadruple QUADRUPLE STANDARD ROOM,room,standard,private bathroom,,quadruple,not club,,no balcony,,
PREMIUM TWIN ROOM (2 Single),room,premium,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Comfort family room twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Guest Room -Twin Bed Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Twin room - Superior Breakfast,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard Double Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Room,room,deluxe,private bathroom,,,not club,,no balcony,,
"Premium Villa, 1 King Bed (Adults only)",villa,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite Basic Rate without breakfast,suite,,private bathroom,,,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Apartment 1 bedroom Half Board,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
dormBed in a dormitory room with 4 bunk beds (facilities out of the room)   in block,dorm,,shared bathroom,,,not club,,no balcony,,
Executive Executive Club Room with Marina View Marina,room,executive,private bathroom,,,club,,no balcony,harbour view,
King Diplomat Suite King Diplomat Suite,suite,,private bathroom,,,not club,,no balcony,,
Ronda,room,standard,private bathroom,,,not club,,no balcony,,
Newbury Accessible Three Queens,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Family Family Connecting Room,room,standard,private bathroom,,,not club,,no balcony,,
One Bedroom Lagoon Pool Access Suites(1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Two Bedroom Apartment City View,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,city view,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Single Economy Single Economy,room,economy,private bathroom,,single,not club,,no balcony,,
Villa OCEAN POOL VILLA,villa,,private bathroom,,,not club,,no balcony,,
Comfort triple room double,room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Mobility Accessible Alii Resort View King Room with Tub ALII RESORT VW KN BD MOBILITY ACCESS BATHTUB (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,with view,
"Family Room, Multiple Beds (2+2)",room,standard,private bathroom,,,not club,,no balcony,,
Executive Triple Room (3 Twin Beds),room,executive,private bathroom,,triple,not club,,no balcony,,
1 King Junior Suite Dining Oceanfront,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean front,
Deluxe Terrace Garden Access King,room,deluxe,private bathroom,,,not club,,no balcony,,
"Deluxe Sea View, Guest room, 1 King, Balcony Deluxe Room, 1 King Bed, Balcony, Sea View (1 Double)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Ronda,room,standard,private bathroom,,,not club,,no balcony,,
DELUXE SUITE SEA VIEW,suite,deluxe,private bathroom,,,not club,,no balcony,sea view,
Superior TWIN ROOM - SUPERIOR,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Premier Premier      Seaview Sea,room,premier,private bathroom,,,not club,,no balcony,sea view,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
triple deluxe room,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Standard Double bed Twin beds,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio Studio grand,studio,grand,private bathroom,,,not club,,no balcony,,
Deluxe DELUXE POOL ACCESS Pool,room,deluxe,private bathroom,,,not club,,no balcony,,
家庭にお便の包月空間familiy room twin,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
2 Single Premium Pool View Balcony(Non-Refundable) Non-Refundable Rate. No Amendments Permitted,room,premium,private bathroom,twin/twin-or-double,double,not club,,balcony,pool view,
"Club Suite, Club level, 1 Bedroom Suite, 1 King, High floor Club Suite, Club level, 1 Bedroom Suite, 1 King, High floor",suite,,private bathroom,double/double-or-twin,double,club,1 bedroom,no balcony,,
Executive Executive Double,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Guest room, 2 Twin",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Maximum occupancy 1 child, 3 adults or 2 children",room,standard,private bathroom,,single,not club,,no balcony,,
Junior suite Room with Balcony double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,balcony,,
Corner King Room With Nile View Smoking allowed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Standard Room, Sea View (1 Twin Bed)",room,standard,private bathroom,twin/twin-or-double,single,not club,,no balcony,sea view,
deluxe room - sea view (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"Deluxe Penthouse (1 Queen Bed, 2 Twin Beds and 1 Twin Sofa Bed)",room,deluxe,private bathroom,,double,not club,,no balcony,,penthouse floor
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Panorama Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
"Premium Duplex, 2 Bedrooms (3 Adults + 2 Children) (2 Double Beds and 1 Double Sofa Bed)",room,premium,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,no balcony,,duplex floor
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
Superior Superior Room with One King Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Comfort room with 1 double bed (without window, attic) double  in block",room,comfort,shared bathroom,,double,not club,,no balcony,,attic floor
"Executive Studio, 1 King Bed, Non Smoking",studio,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior TWIN STANDARD,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Beach Suite SUITE BEACH FRONT,suite,,private bathroom,,,not club,,no balcony,beachfront,
Duplex Suite PANWA DUPLEX LAGOON SUITE,suite,,private bathroom,,,not club,,no balcony,,duplex floor
Suite premium room with 1 double bed (attic) double,suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,multiple,double,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
"Single Room, Smoking (1 Twin Bed)",room,standard,private bathroom,single bed,single,not club,,no balcony,,
Standard Room Multiple Beds,room,standard,private bathroom,,,not club,,no balcony,,
"Deluxe Sea View, Guest room, 1 King, Balcony Deluxe Room, 1 King Bed, Balcony, Sea View (1 Double)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Suite - Superior - Double bed Suite - Superior - Double bed,suite,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
2 Single Premium Pool View Balcony(Non-Refundable) Non-refundable Rate. No Amendments Permitted,room,premium,private bathroom,twin/twin-or-double,double,not club,,balcony,pool view,
Two Bedroom Family Suite TWO BEDROOM FAMILY SUITE BEACH WING,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Garden House,cottage,,private bathroom,,,not club,,no balcony,,
Villa Villa,villa,,private bathroom,,,not club,,no balcony,,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
Sea Front View Room with Balcony - Twin Bed Half Board,room,standard,private bathroom,twin/twin-or-double,double,not club,,balcony,sea front,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family with shared bathroom (Shared facilities) (Number three) shared bathroom Double bed Bunk bed,room,standard,shared bathroom,bunk bed,double,not club,,no balcony,,
Triple standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Large Twin Room Twin Large Room (1 Twin),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Economy family room double  in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Club Room Marina View Double Breakfast,room,executive,private bathroom,double/double-or-twin,double,club,,no balcony,harbour view,
Classic Double or Twin Room (2 Twin Beds) - Package Rate,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premier Quadruple Room (2 Double Beds),room,premier,private bathroom,,quadruple,not club,,no balcony,,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
Suite - Bomonti Suite - Bomonti,suite,,private bathroom,,,not club,,no balcony,,
One Bedroom Over Water Villa,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Studio comfort room twin,studio,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Premium Premier Room, 1 King Bed",room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Double or Twin SUPERIOR,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
dormBed in a dormitory room with 4 bunk beds (facilities out of the room)   in block,dorm,,shared bathroom,,,not club,,no balcony,,
Ocean View Pool Villa King,villa,,private bathroom,,,not club,,no balcony,ocean view,
Family Room Three Beds One Kings Bath Family Room Three Beds One Kings Bath,room,standard,private bathroom,,triple,not club,,no balcony,,
Junior Suite(1 Double Bed),junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Deluxe City View Room Double Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
KING EXECUTIVE STUDIO Room Only,studio,executive,private bathroom,,,not club,,no balcony,,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Duplex (Suite) (1 Queen Bed),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,duplex floor
Standard comfort triple room double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe DELUXE POOL ACCESS Pool,room,deluxe,private bathroom,,,not club,,no balcony,,
Classic Double or Twin Room (2 Twin Beds) - Package Rate,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Triple STD3 Standard rate without breakfast,room,standard,private bathroom,,triple,not club,,no balcony,,
Twin room Room only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
ONE BEDROOM SUITE (1 Double or 1 Twin),suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
Executive Balcony Executive Balcony,room,executive,private bathroom,,,not club,,balcony,,
standard with a double bed Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Supreme Room, Lateral Sea View, Terrace (2 Twin Beds)",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
"Family Room, Multiple Beds (3+2)",room,standard,private bathroom,,,not club,,no balcony,,
Roof Garden Suite,suite,,private bathroom,,,not club,,no balcony,garden view,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Standard Double or Twin Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Plus Standard Twin Room Twin room - Plus (1 Twin),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Corner Junior Suite, 1 Bedroom Junior Suite, 1 King, Sofa bed, Corner room",junior-suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Suite Basic Rate without breakfast,suite,,private bathroom,,,not club,,no balcony,,
Premium PREMIUM EXPLORER KING,room,premium,private bathroom,,,not club,,no balcony,,
