rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Standard Standard Twin,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Double room - Side Seaside Double room - Side Seaside sea,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Executive Room with Queen Bed,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Exclusive Suite Room,suite,executive,private bathroom,,,not club,,no balcony,,
Suite premium rooms,suite,premium,private bathroom,,,not club,,no balcony,,
"Comfort room with 1 double bed (without window, attic) double  in block",room,comfort,shared bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Guest Room with King Bed Room only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
Corner King Room With Nile View Smoking allowed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
TWIN GUEST ROOM Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite Basic Rate without breakfast,suite,,private bathroom,,,not club,,no balcony,,
"Comfort room, 1 double bed (without view)",room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premier Premier      Seaview Sea,room,premier,private bathroom,,,not club,,no balcony,sea view,
Apartment with 1 bedroom and a separate kitchen twin,apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
"Deluxe Double or Twin Room, 1 Bedroom (1 Double Bed)",room,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
Quadruple QUADRUPLE STANDARD ROOM,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Superior Superior Room with One King Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Triple room Breakfast,room,standard,private bathroom,,triple,not club,,no balcony,,
Standard Twin standard,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Studio Studio grande,studio,grand,private bathroom,,,not club,,no balcony,,
"Traditional Room, 1 King Bed",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
ONE BRIDGE Suite ONE BRIDGE BRIGADE,suite,,private bathroom,,,not club,,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Panorama Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
THREE BEDROOM RESIDENCE Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
Big,room,standard,private bathroom,,,not club,,no balcony,,
Seafair Suite 1 bedroom - Family Block Spa Seafair Airplane Suite 1 bedroom - Family Block spa,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
"Suite Suite, 1 Double Bed (Landmark)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Executive Room Breakfast,room,executive,private bathroom,,,not club,,no balcony,,
Standard double or twin room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Tapa Collection Resort View King Room Acc Roll in show TAPA COLLECTION RESORT VW 1KG MOB ACC RI SHWR (1 Single),room,standard,private bathroom,double/double-or-twin,single,not club,,no balcony,with view,
One Bedroom Executive Ocean Front,room,executive,private bathroom,,,not club,1 bedroom,no balcony,ocean front,
"Premium Villa, 1 King Bed (Adults Only)",villa,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
king deluxe room with skyline sea view Breakfast,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
"Deluxe Sea View, Guest room, 1 King, Balcony Deluxe Room, 1 King Bed, Balcony, Sea View (1 Double)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
Triple Studio Land View (3 Twin Beds),studio,,private bathroom,,triple,not club,,no balcony,land view,
Duplex (Suite) (1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,duplex floor
two bedroom skyline suite (max 7) Half Board,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Deluxe Lagoon View Room Room Only,room,deluxe,private bathroom,,,not club,,no balcony,bay view,
Family Family Connecting Room,room,standard,private bathroom,,,not club,,no balcony,,
Superior Superior Room With One Queen Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Medium Palace View,room,standard,private bathroom,,,not club,,no balcony,,
"Standard Double or Twin Room, Lake View, 3 Twin Beds Lake",room,standard,private bathroom,,triple,not club,,no balcony,lake view,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior Junior Skyline Room,room,standard,private bathroom,,,not club,,no balcony,,
Ocean View Pool Villa,villa,,private bathroom,,,not club,,no balcony,ocean view,
Executive Executive Double,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Heritage Palm Sea View Room Queen Double Half Board,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Standard Twin standard,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Executive King Room With City View non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
"Premier Balcony Double (For 2 adults, 0 children and 0 infants)",room,premier,private bathroom,double/double-or-twin,double,not club,,balcony,,
Family Suite FAMILY SUITE,suite,,private bathroom,,,not club,,no balcony,,
Two Bedroom Villa Two Bedrooms Sunset Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,sunset view,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Accessible Rotunda Suite,suite,,private bathroom,,,not club,,no balcony,,
Suite FARMSTAY SUITE,suite,,private bathroom,,,not club,,no balcony,,
King Diplomat Suite King Diplomat Suite,suite,,private bathroom,,,not club,,no balcony,,
"Skyline Room, Burj Khalifa View",room,standard,private bathroom,,,not club,,no balcony,burj-khalifa view,
Ocean Deluxe Balcony (Double) Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,,
One Bedroom Apartment (1 Double or 1 Twin),apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
4-Bedroom Deluxe Suite Breakfast,suite,deluxe,private bathroom,,,not club,4 bedrooms,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Quadruple QUADRUPLE STANDARD ROOM,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Triple Studio LandView (3 Twin Beds),studio,,private bathroom,,triple,not club,,no balcony,land view,
Superior Superior Room with One King Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
Comfort Triple,room,comfort,private bathroom,,triple,not club,,no balcony,,
Studio junior suite room with 1 double bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Guest Room -Twin Bed Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite - King bed - Sofa bed Suite - King bed - Sofa bed,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Sea View, Guests Love The Comfortable Rooms With Balcony And Sea View (1 Double or 1 Twin)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Executive One Bedroom,room,executive,private bathroom,,,not club,1 bedroom,no balcony,,
Quadruple QUADRUPLE STANDARD ROOM,room,standard,private bathroom,,quadruple,not club,,no balcony,,
"2 Single Beds, Non-Smoking, Superior Room, Safe, Work Desk, Air-Conditioned",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Two Bedroom Grand Suites with Multiple Beds,suite,grand,private bathroom,,,not club,2 bedrooms,no balcony,,
Premium Premium King room with Marina View Marina,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,harbour view,
Junior JUNIOR.,room,standard,private bathroom,,,not club,,no balcony,,
Standard Triple STD3 Standard rate without breakfast,room,standard,private bathroom,,triple,not club,,no balcony,,
"One Bedroom Patio Apartment One Bedroom Apartment With Kitchen/ Patio, 1 King Bed",apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Single Mansard One single bed Mansard room,room,standard,private bathroom,single bed,single,not club,,no balcony,,attic floor
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
"Supreme Room, Lateral Sea View, Terrace (2 Twin Beds)",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
High Floor Spacious Room with King Bed High Floor Spacious Room with King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Club Club CityView City,room,standard,private bathroom,,,not club,,no balcony,city view,
Standard economy room with 1 double bed double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin/Double room - Balcony All Inclusive,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
Deluxe Double King Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Premium Duplex, 2 Bedrooms (3 Adults + 2 Children) (2 Double Beds and 1 Double Sofa Bed)",room,premium,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,no balcony,,duplex floor
Executive One Bedroom,room,executive,private bathroom,,,not club,1 bedroom,no balcony,,
Studio Studio grand,studio,grand,private bathroom,,,not club,,no balcony,,
Standard Triple STD3 Standard rate without breakfast,room,standard,private bathroom,,triple,not club,,no balcony,,
"Grand Deluxe TWO Double Beds Grand Deluxe Room, 2 Double Beds",room,deluxe,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
Junior suite Skyline Views,junior-suite,,private bathroom,,,not club,,no balcony,with view,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Suite With 2 Single Beds 2 adults & 1 child Breakfast,suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Four Basic Rules to Survive in Hotels (4+2),room,standard,private bathroom,,,not club,,no balcony,,
"Classic Guest room, 2 Twin Bed",room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
King Room - Double Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Hideaway Two-bedroom Pool Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,,
Apartment with 1 bedroom and a separate kitchen double,apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
TWIN GUEST ROOM Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
Superior Superior Twin Room,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
PREMIUM SUITE PREMIUM SUITE IN 500 FUNGUS ROYAL SUITE,suite,premium,private bathroom,,,not club,,no balcony,,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
Deluxe DELUXE POOL VIEW Pool,room,deluxe,private bathroom,,,not club,,no balcony,pool view,
Triple standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Deluxe Double Room Single bed,room,deluxe,private bathroom,double/double-or-twin,single,not club,,no balcony,,
Standard Twin standard,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Executive King,room,executive,private bathroom,,,not club,,no balcony,,
Suite - Diplomatic Suite - Diplomatic,suite,,private bathroom,,,not club,,no balcony,,
2 Bedrooms Pool Villa Garden View(2 King Beds),villa,,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,no balcony,garden view,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
King room - Superior Breakfast,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Fairmont Heritage Room,room,standard,private bathroom,,single,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
"Quadrangle, 1 Queen Bed, Accessible (Communication, Accessible Tub)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
"Comfort Room, 1 King Bed, Balcony, Pool View (with Sofabed) (1 King Bed)",room,comfort,private bathroom,double/double-or-twin,double,not club,,balcony,pool view,
Executive Premium Room,room,premium,private bathroom,,,not club,,no balcony,,
Double connective rooms (By Block),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premier Executive Room,room,premier,private bathroom,,,not club,,no balcony,,
3br family suite seaview Half Board,suite,,private bathroom,,,not club,,no balcony,sea view,
Two Bedroom Apartment TWO BEDROOM APARTMENT - CITY VIEW City,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,city view,
Family Family Connecting Room,room,standard,private bathroom,,,not club,,no balcony,,
Classic Suite Classic Suite - King Bed,suite,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Grand Deluxe GRAND DELUXE SUIT,suite,deluxe,private bathroom,,,not club,,no balcony,,
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Canal Suite Canal Suite,suite,,private bathroom,,,not club,,no balcony,,
Studio junior suite room with 1 double bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Deluxe Palacio,room,deluxe,private bathroom,,,not club,,no balcony,,
Suite - Grand De Luxe Suite - Grand De Luxe,suite,deluxe,private bathroom,,,not club,,no balcony,,
Quad Room Breakfast,room,standard,private bathroom,,quadruple,not club,,no balcony,,
Standard room with double bed and balcony double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
Deluxe Deluxe Double Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Premier Balcony Double (For 2 adults, 0 children and 0 infants)",room,premier,private bathroom,double/double-or-twin,double,not club,,balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
"Executive TWIN EXECUTIVE ROOM, COMP WIFI/BFST-SNACKS-DRINKS IN LOUNGE/SAFE, 45 SQM/BATH-WALK-IN SHOWER/ESPRESSO/MINIBAR",room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Executive King Room With City View non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Suite - Bomonti Suite - Bomantoner,suite,,private bathroom,,,not club,,no balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
1 Person in 6-Bed Dormitory - Mixed (1 Twin Bed),dorm,,shared bathroom,,,not club,,no balcony,,
Pool Suite,suite,,private bathroom,,,not club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Square Feet, Sofabed, Fireplace, Garden Views Vineyard Suite 1 King Patio, 500 Square Feeters, Sofa Bed, Fireplace, Garden Views. 1 King Bed. Garden View",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
Duplex Suite PANWA DUPLEX LAGOON SUITE,suite,,private bathroom,,,not club,,no balcony,,duplex floor
One Bedroom Family Suite Family One bedroom Suite King and Twin Beds,suite,,private bathroom,,double,not club,1 bedroom,no balcony,,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Guest Room with King Bed Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
Family Triple Room Single bed,room,standard,private bathroom,multiple,triple,not club,,no balcony,,
STANDARD QUAD ROOM Room only,room,standard,private bathroom,,quadruple,not club,,no balcony,,
"Standard Double Room, 1 Double Bed",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
Junior Suite Junior Suite room,junior-suite,,private bathroom,,,not club,,no balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Deluxe Suite Deluxe Partial Bosphorus Suite-,suite,deluxe,private bathroom,,,not club,,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Premium King Room with City View with 20% discount on FandB - Non-refundable Room Only,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Lagoon Pool Access Suites(1 king bed),suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Studio Land View (3 Twin Beds),studio,,private bathroom,,triple,not club,,no balcony,land view,
"Suite, Terrace (Golden Horn View -  Lounge)",suite,,private bathroom,,,not club,,no balcony,,
Vilòn Charming Garden,cottage,,private bathroom,,,not club,,no balcony,,
Trinity Suite Trinity,suite,,private bathroom,,,not club,,no balcony,,
Apartment 2 Bedrooms - Burj Khalifa View Half Board,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,burj-khalifa view,
Ocean View Pool Villa,villa,,private bathroom,,,not club,,no balcony,ocean view,
Executive Executive Room with Queen Bed,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double connect by SUITSETS at new beach pavilion - SUPERIOR,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Beach Suite SUITE BEACH FRONT,suite,,private bathroom,,,not club,,no balcony,beachfront,
Club club room,room,standard,private bathroom,,,club,,no balcony,,
Quadruple QUADRUPLE STANDARD ROOM,room,standard,private bathroom,,quadruple,not club,,no balcony,,
1-room superior apartment,apartment,superior,private bathroom,,,not club,1 bedroom,no balcony,,
"Standard Double or Twin Room, Lake View, 3 Twin Beds Lake",room,standard,private bathroom,,triple,not club,,no balcony,lake view,
Tourist Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Studio, 1 King Bed, Non Smoking",studio,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Family Sea View Room,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Premium PREMIUM EXPLORER KING,room,premium,private bathroom,,,not club,,no balcony,,
Double room King bed - De Luxe Double room King bed - De Luxe,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite Basic Rate without breakfast,suite,,private bathroom,,,not club,,no balcony,,
"Comfort room with 1 double bed (without window, attic) double  in block",room,comfort,shared bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
"2 Single Beds, Non-Smoking, Supervised Pool Area (2 Small Beds, non-smoking, Roomy Lounge Area)",room,standard,shared bathroom,twin/twin-or-double,double,not club,,no balcony,,
Ocean Deluxe Balcony (Double) Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Single room Single room,room,standard,private bathroom,,single,not club,,no balcony,,
Villa Villa,villa,,private bathroom,,,not club,,no balcony,,
Two Bedroom Standard Ocean 2 Bedroom,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
One Bedroom Over Water Villa,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Triple Room,room,standard,private bathroom,,triple,not club,,no balcony,,
1 Person in 6-Bed Dormitory - Mixed (1 Twin Bed),dorm,,shared bathroom,,,not club,,no balcony,,
Deluxe Terrace Garden Access King,room,deluxe,private bathroom,,,not club,,no balcony,,
King Diplomat Suite King Diplomat Suite,suite,,private bathroom,,,not club,,no balcony,,
Guest Room -Twin Bed Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard Twin Room (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Deluxe Jacuzzi,room,deluxe,private bathroom,,,not club,,no balcony,,
Twin room - Executive Twin room - Executive,room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Big,room,standard,private bathroom,,,not club,,no balcony,,
Superior double Standard rate RO,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite FARMSTAY SUITE,suite,,private bathroom,,,not club,,no balcony,,
THREE BEDROOM RESIDENCE Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Standing Room Only (1 Twin Bed),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Executive King,room,executive,private bathroom,,,not club,,no balcony,,
"Double Room, Sea View (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Junior Suite Grande,junior-suite,grand,private bathroom,,,not club,,no balcony,,
beach suite swimout,suite,,private bathroom,,,not club,,no balcony,,
Ocean Deluxe Balcony (Double) Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Superior Grey Room,room,superior,private bathroom,,,not club,,no balcony,,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
"Skyline Room, Burj Khalifa View",room,standard,private bathroom,,,not club,,no balcony,burj-khalifa view,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Corner Junior Suite, 1 Bedroom Junior Suite, 1 King, Sofa bed, Corner room",junior-suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Garden House,cottage,,private bathroom,,,not club,,no balcony,,
Guest Room -Turkish Room,room,standard,private bathroom,,,not club,,no balcony,,
Two Bedroom Suite Two Bedroom Suite Breakfast Included (1 King 1 Twin),suite,,private bathroom,multiple,,not club,2 bedrooms,no balcony,,
One Bedroom Apartment (1 Double or 1 Twin),apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Deluxe Deluxe Lagoon View Room 1 KB or 2 DB Lagoon,room,deluxe,private bathroom,,,not club,,no balcony,bay view,
Suite double or twin room double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Twin standard,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Junior Suite Junior Suite, 1 King Bed",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Premium Villa, 1 King Bed (Adults Only)",villa,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Tourist Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive One Bedroom,room,executive,private bathroom,,,not club,1 bedroom,no balcony,,
Economy superior room with 1 double bed double  in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
standard room double Full Board,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Mobility Accessible Alii Resort View King Room with Tub ALII RESORT VW KNG BD MOBILITY ACCESS BATHTUB (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,with view,
Single Fairmont Heritage Room,room,standard,private bathroom,,single,not club,,no balcony,,
Superior DOUBLE SUPERIOR WITH TERRACE,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Apartment 2 Bedrooms - Burj Khalifa View Half Board,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,burj-khalifa view,
TWIN GUEST ROOM Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Corner Suite 1 King Bed Corner Suite,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Oceanview Bedroom,room,standard,private bathroom,,,not club,,no balcony,ocean view,
Family Interconnecting Room Family InterConnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Studio With 1 Single Bed (No View),studio,executive,private bathroom,single bed,single,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Standard cottage with 1 double bed,cottage,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Club Room, 1 King Bed, Lounge access, Sea view (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,club,,no balcony,sea view,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Triple Triple Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Standard Double Side Sea View Side Sea,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,partial-sea view,
1 King Bed Premium Hearing Accessible Double room King bed - Premium - Hearing Accessible (1 Double),room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin capacity 1,room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
